"Species2","Sahara","Arabian","Thar","Gobi","Chihuahuan","Great_Basin","Kalahari","Atacama","Patagonian","Great_Australian","Family2","Order2","Avibase.ID2","Total.individuals","Female","Male","Unknown","Complete.measures","Beak.Length_Culmen","Beak.Length_Nares","Beak.Width","Beak.Depth","Tarsus.Length","Wing.Length","Kipps.Distance","Secondary1","Hand-Wing.Index","Tail.Length","Mass","Mass.Source","Mass.Refs.Other","Inference","Traits.inferred","Reference.species","Habitat","Habitat.Density","Migration","Trophic.Level","Trophic.Niche","Primary.Lifestyle"
"Acanthagenys rufogularis",0,0,0,0,0,0,0,0,0,1,"Meliphagidae","Passeriformes","AVIBASE-BFB1C22E",17,5,12,0,4,25.7,11.3,3.7,5,25.1,111.1,25,82.8,23.2,111.4,47.8,"Dunning","NA","NO","NA","NA","Shrubland",2,"1","Omnivore","Omnivore","Insessorial"
"Acanthis flammea",0,0,0,1,0,1,0,0,0,0,"Fringillidae","Passeriformes","AVIBASE-A2BB98A9",1,0,1,0,0,11.4,7.8,4.5,6.5,15.6,75.5,23.5,52,31.1,58.7,13,"Dunning","NA","YES","Beak Culmen; Beak Nares; Beak Width; Beak Depth; Tarsus Length; Tail Length","Acanthis flammea (sensu lato)","Forest",1,"2","Herbivore","Granivore","Generalist"
"Acanthiza apicalis",0,0,0,0,0,0,0,0,0,1,"Acanthizidae","Passeriformes","AVIBASE-4413633D",20,8,12,0,4,11,5.9,2.2,2.6,19,51,7.2,43.2,14.2,44.1,7.6,"Dunning","NA","NO","NA","NA","Woodland",2,"1","Carnivore","Invertivore","Insessorial"
"Acanthiza chrysorrhoa",0,0,0,0,0,0,0,0,0,1,"Acanthizidae","Passeriformes","AVIBASE-B1B0E343",13,5,8,0,4,11.7,6.2,2.1,2.5,18,58.3,9.1,49.1,15.6,37.9,9.3,"Dunning","NA","NO","NA","NA","Woodland",2,"1","Carnivore","Invertivore","Terrestrial"
"Acanthiza iredalei",0,0,0,0,0,0,0,0,0,1,"Acanthizidae","Passeriformes","AVIBASE-D6ACB361",13,5,8,0,4,9.2,4.8,2,2.3,17.4,48.4,7.2,39.8,15.3,39.3,6,"Dunning","NA","NO","NA","NA","Shrubland",2,"1","Carnivore","Invertivore","Generalist"
"Acanthiza robustirostris",0,0,0,0,0,0,0,0,0,1,"Acanthizidae","Passeriformes","AVIBASE-4D64891A",10,5,5,0,4,9.9,5.1,2.3,2.7,19.1,50.8,7.6,42.8,15.2,40.2,6.1,"Dunning","NA","NO","NA","NA","Woodland",2,"2","Carnivore","Invertivore","Insessorial"
"Acanthiza uropygialis",0,0,0,0,0,0,0,0,0,1,"Acanthizidae","Passeriformes","AVIBASE-27F7E242",12,5,7,0,4,10.2,5.3,2,2.3,18,51.8,7.9,44.6,15,38.3,6.4,"Dunning","NA","NO","NA","NA","Woodland",2,"1","Carnivore","Invertivore","Insessorial"
"Accipiter badius",1,1,1,0,0,0,1,0,0,0,"Accipitridae","Accipitriformes","AVIBASE-1A0ECB6E",10,4,6,0,8,20.6,12.1,8.8,11.6,43,186.7,62.5,127.4,32.9,140.6,131.2,"Dunning","NA","NO","NA","NA","Shrubland",2,"3","Carnivore","Vertivore","Insessorial"
"Accipiter brevipes",1,1,0,0,0,0,0,0,0,0,"Accipitridae","Accipitriformes","AVIBASE-8492E4B7",8,4,4,0,4,21.1,12.1,8.7,11.1,46.4,217.6,87.8,129.9,40.2,153.5,186.5,"Dunning","NA","NO","NA","NA","Forest",1,"3","Carnivore","Vertivore","Generalist"
"Accipiter cirrocephalus",0,0,0,0,0,0,0,0,0,1,"Accipitridae","Accipitriformes","AVIBASE-21957C95",5,2,3,0,4,19.2,10.6,7.7,9.6,60.3,213,81.3,133.7,37.8,155.4,165.7,"Dunning","NA","NO","NA","NA","Forest",1,"2","Carnivore","Vertivore","Generalist"
